そ,虏嘿,/る,犁穨Μ瞓肂
2612   ,い         ,200506,     1142031
2612   ,い         ,200512,     1581440
2612   ,い         ,200606,     1544701
2612   ,い         ,200612,     2105054
2612   ,い         ,200706,     2303461
2612   ,い         ,200712,     2433805
2612   ,い         ,200803,     1445753
2612   ,い         ,200806,     1642599
2612   ,い         ,200809,     1683809
2612   ,い         ,200812,     1623940
2612   ,い         ,200903,     1271041
2612   ,い         ,200906,     1263298
2612   ,い         ,200909,     1200818
2612   ,い         ,200912,     1094786
2612   ,い         ,201003,     1223883
2612   ,い         ,201006,     1039291
2612   ,い         ,201009,     1364376
2612   ,い         ,201012,      554244
2612   ,い         ,201103,      911488
2612   ,い         ,201106,      862078
2612   ,い         ,201109,      821856
2612   ,い         ,201112,      823667
2612   ,い         ,201203,      924986
2612   ,い         ,201206,      929624
2612   ,い         ,201209,      917986
2612   ,い         ,201212,      889288
2612   ,い         ,201303,      788775
2612   ,い         ,201306,      842390
2612   ,い         ,201309,      835884
2612   ,い         ,201312,      866346
2612   ,い         ,201403,      846114
2612   ,い         ,201406,      881953
2612   ,い         ,201409,      866230
2612   ,い         ,201412,      896984
2612   ,い         ,201503,      832582
2612   ,い         ,201506,      840807
2612   ,い         ,201509,      839698
2612   ,い         ,201512,      848370
2612   ,い         ,201603,      813346
2612   ,い         ,201606,      822080
2612   ,い         ,201609,      829077
2612   ,い         ,201612,      830331
2612   ,い         ,201703,      775250
2612   ,い         ,201706,      801287
2612   ,い         ,201709,      799900
2612   ,い         ,201712,      841929
2612   ,い         ,201803,      852611
2612   ,い         ,201806,      942622
2612   ,い         ,201809,      999209
2612   ,い         ,201812,     1025782
2612   ,い         ,201903,      963884
2612   ,い         ,201906,      949739
2612   ,い         ,201909,      927117
2610   ,地         ,200506,    54095186
2610   ,地         ,200512,    64275032
2610   ,地         ,200606,    60764884
2610   ,地         ,200612,    69819987
2610   ,地         ,200706,    62501364
2610   ,地         ,200712,    70795130
2610   ,地         ,200803,    32558850
2610   ,地         ,200806,    33877134
2610   ,地         ,200809,    35303015
2610   ,地         ,200812,    29541863
2610   ,地         ,200903,    23369555
2610   ,地         ,200906,    21708890
2610   ,地         ,200909,    27597226
2610   ,地         ,200912,    32354351
2610   ,地         ,201003,    33387059
2610   ,地         ,201006,    38074869
2610   ,地         ,201009,    39160671
2610   ,地         ,201012,    37043408
2610   ,地         ,201103,    33791797
2610   ,地         ,201106,    35159619
2610   ,地         ,201109,    37365477
2610   ,地         ,201112,    35993787
2610   ,地         ,201203,    33686686
2610   ,地         ,201206,    35471724
2610   ,地         ,201209,    37117310
2610   ,地         ,201212,    34696419
2610   ,地         ,201303,    33075918
2610   ,地         ,201306,    34187617
2610   ,地         ,201309,    37343853
2610   ,地         ,201312,    37095157
2610   ,地         ,201403,    35246873
2610   ,地         ,201406,    36947737
2610   ,地         ,201409,    40244398
2610   ,地         ,201412,    38142734
2610   ,地         ,201503,    37163905
2610   ,地         ,201506,    35621247
2610   ,地         ,201509,    37089144
2610   ,地         ,201512,    35181921
2610   ,地         ,201603,    34999023
2610   ,地         ,201606,    33834966
2610   ,地         ,201609,    36552871
2610   ,地         ,201612,    35692247
2610   ,地         ,201703,    35796465
2610   ,地         ,201706,    38156614
2610   ,地         ,201709,    40542703
2610   ,地         ,201712,    41626003
2610   ,地         ,201803,    39735027
2610   ,地         ,201806,    41275835
2610   ,地         ,201809,    45196764
2610   ,地         ,201812,    44503981
2610   ,地         ,201903,    40405348
2610   ,地         ,201906,    42892312
2610   ,地         ,201909,    43004648
2618   ,篴       ,200506,    42809680
2618   ,篴       ,200512,    49604543
2618   ,篴       ,200606,    47858189
2618   ,篴       ,200612,    51246835
2618   ,篴       ,200706,    46795491
2618   ,篴       ,200712,    52075553
2618   ,篴       ,200803,    25666911
2618   ,篴       ,200806,    23950573
2618   ,篴       ,200809,    25610852
2618   ,篴       ,200812,    22195282
2618   ,篴       ,200903,    18594170
2618   ,篴       ,200906,    17879176
2618   ,篴       ,200909,    20937317
2618   ,篴       ,200912,    24085666
2618   ,篴       ,201003,    25240676
2618   ,篴       ,201006,    28892524
2618   ,篴       ,201009,    31322921
2618   ,篴       ,201012,    28598332
2618   ,篴       ,201103,    27072445
2618   ,篴       ,201106,    28642277
2618   ,篴       ,201109,    30480808
2618   ,篴       ,201112,    27423843
2618   ,篴       ,201203,    28944597
2618   ,篴       ,201206,    29762217
2618   ,篴       ,201209,    31787371
2618   ,篴       ,201212,    29664282
2618   ,篴       ,201303,    29080135
2618   ,篴       ,201306,    30295700
2618   ,篴       ,201309,    33244731
2618   ,篴       ,201312,    31543885
2618   ,篴       ,201403,    30392098
2618   ,篴       ,201406,    31938491
2618   ,篴       ,201409,    35820040
2618   ,篴       ,201412,    34939379
2618   ,篴       ,201503,    33374491
2618   ,篴       ,201506,    32686440
2618   ,篴       ,201509,    36014470
2618   ,篴       ,201512,    35093143
2618   ,篴       ,201603,    34906089
2618   ,篴       ,201606,    34468468
2618   ,篴       ,201609,    38887294
2618   ,篴       ,201612,    36417814
2618   ,篴       ,201703,    38064697
2618   ,篴       ,201706,    40200582
2618   ,篴       ,201709,    43166421
2618   ,篴       ,201712,    42130031
2618   ,篴       ,201803,    42878322
2618   ,篴       ,201806,    44554750
2618   ,篴       ,201809,    47379049
2618   ,篴       ,201812,    45095211
2618   ,篴       ,201903,    44312727
2618   ,篴       ,201906,    43864832
2618   ,篴       ,201909,    45528073
