そ,虏嘿,/る,犁穨を
2610   ,地         ,200506,     9941017
2612   ,い         ,200506,      307490
2618   ,篴       ,200506,     5196041
2610   ,地         ,200512,    10217725
2612   ,い         ,200512,      590470
2618   ,篴       ,200512,     4101176
2610   ,地         ,200606,     8311691
2612   ,い         ,200606,      607431
2618   ,篴       ,200606,     1827272
2610   ,地         ,200612,    11988601
2612   ,い         ,200612,     1049310
2618   ,篴       ,200612,     3799174
2610   ,地         ,200706,     9566267
2612   ,い         ,200706,     1215702
2618   ,篴       ,200706,     2349835
2610   ,地         ,200712,     9253457
2612   ,い         ,200712,     1188423
2618   ,篴       ,200712,     3785381
2610   ,地         ,200803,     1869432
2612   ,い         ,200803,      825688
2618   ,篴       ,200803,      325532
2610   ,地         ,200806,    -1098628
2612   ,い         ,200806,      947525
2618   ,篴       ,200806,    -1652777
2610   ,地         ,200809,     1141696
2612   ,い         ,200809,     1032662
2618   ,篴       ,200809,     -176836
2610   ,地         ,200812,     3505199
2612   ,い         ,200812,     1039909
2618   ,篴       ,200812,     1043809
2610   ,地         ,200903,     2976190
2612   ,い         ,200903,      797741
2618   ,篴       ,200903,     1733069
2610   ,地         ,200906,      282551
2612   ,い         ,200906,      700654
2618   ,篴       ,200906,     -414058
2610   ,地         ,200909,     1611646
2612   ,い         ,200909,      510401
2618   ,篴       ,200909,      628078
2610   ,地         ,200912,     4141096
2612   ,い         ,200912,      513295
2618   ,篴       ,200912,     2754236
2610   ,地         ,201003,     5948628
2612   ,い         ,201003,      560421
2618   ,篴       ,201003,     3373843
2610   ,地         ,201006,     7449310
2612   ,い         ,201006,      427574
2618   ,篴       ,201006,     6024057
2610   ,地         ,201009,     9151309
2612   ,い         ,201009,      399679
2618   ,篴       ,201009,     8209996
2610   ,地         ,201012,     4513085
2612   ,い         ,201012,      360489
2618   ,篴       ,201012,     3949832
2610   ,地         ,201103,     2672331
2612   ,い         ,201103,      333283
2618   ,篴       ,201103,     2857583
2610   ,地         ,201106,     2302862
2612   ,い         ,201106,      297611
2618   ,篴       ,201106,     2659192
2610   ,地         ,201109,     4434156
2612   ,い         ,201109,      307584
2618   ,篴       ,201109,     3712718
2610   ,地         ,201112,      -64177
2612   ,い         ,201112,      257625
2618   ,篴       ,201112,     1025811
2610   ,地         ,201203,      642056
2612   ,い         ,201203,      298411
2618   ,篴       ,201203,     1484381
2610   ,地         ,201206,     2696584
2612   ,い         ,201206,      295711
2618   ,篴       ,201206,     2658879
2610   ,地         ,201209,     4478924
2612   ,い         ,201209,      316138
2618   ,篴       ,201209,     4187686
2610   ,地         ,201212,     2061207
2612   ,い         ,201212,      238067
2618   ,篴       ,201212,     2572014
2610   ,地         ,201303,     1943039
2612   ,い         ,201303,      223749
2618   ,篴       ,201303,     2146588
2610   ,地         ,201306,     2883507
2612   ,い         ,201306,      174176
2618   ,篴       ,201306,     3154923
2610   ,地         ,201309,     4078100
2612   ,い         ,201309,      244081
2618   ,篴       ,201309,     4684201
2610   ,地         ,201312,     2122739
2612   ,い         ,201312,      173389
2618   ,篴       ,201312,     2982020
2610   ,地         ,201403,     1675213
2612   ,い         ,201403,      223726
2618   ,篴       ,201403,     2095252
2610   ,地         ,201406,     2640132
2612   ,い         ,201406,      215408
2618   ,篴       ,201406,     3487603
2610   ,地         ,201409,     4548704
2612   ,い         ,201409,      227518
2618   ,篴       ,201409,     4501016
2610   ,地         ,201412,     4767321
2612   ,い         ,201412,      237561
2618   ,篴       ,201412,     2165129
2610   ,地         ,201503,     5716576
2612   ,い         ,201503,      254970
2618   ,篴       ,201503,     5296114
2610   ,地         ,201506,     4564806
2612   ,い         ,201506,      211332
2618   ,篴       ,201506,     4907729
2610   ,地         ,201509,     5290604
2612   ,い         ,201509,      239634
2618   ,篴       ,201509,     5906898
2610   ,地         ,201512,     4696388
2612   ,い         ,201512,      233828
2618   ,篴       ,201512,     4128701
2610   ,地         ,201603,     5748765
2612   ,い         ,201603,      228633
2618   ,篴       ,201603,     5072620
2610   ,地         ,201606,     3879073
2612   ,い         ,201606,      218376
2618   ,篴       ,201606,     4798619
2610   ,地         ,201609,     4924994
2612   ,い         ,201609,      212945
2618   ,篴       ,201609,     6138980
2610   ,地         ,201612,     3453074
2612   ,い         ,201612,      147783
2618   ,篴       ,201612,     3066432
2610   ,地         ,201703,     2799380
2612   ,い         ,201703,      143037
2618   ,篴       ,201703,     3424482
2610   ,地         ,201706,     6022797
2612   ,い         ,201706,       98609
2618   ,篴       ,201706,     5128473
2610   ,地         ,201709,     7068240
2612   ,い         ,201709,      152479
2618   ,篴       ,201709,     7775831
2610   ,地         ,201712,     6081994
2612   ,い         ,201712,      164067
2618   ,篴       ,201712,     4865142
2610   ,地         ,201803,     3794007
2612   ,い         ,201803,      188351
2618   ,篴       ,201803,     4829346
2610   ,地         ,201806,     3959170
2612   ,い         ,201806,      233707
2618   ,篴       ,201806,     5415316
2610   ,地         ,201809,     5310156
2612   ,い         ,201809,      267658
2618   ,篴       ,201809,     7080708
2610   ,地         ,201812,     4144198
2612   ,い         ,201812,      279972
2618   ,篴       ,201812,     4792320
2610   ,地         ,201903,     4213439
2612   ,い         ,201903,      249601
2618   ,篴       ,201903,     7002903
2610   ,地         ,201906,     4296535
2612   ,い         ,201906,      199872
2618   ,篴       ,201906,     4479449
2610   ,地         ,201909,     5126524
2612   ,い         ,201909,      198671
2618   ,篴       ,201909,     5734779
